Country,County/State,Hectares 2023,G% Hectares (2023-2028),Avg Yield OPV,Avg Yield Hybrid,Avg Yield Biotech,2023 % of OPV,2023 % of Hybrid,2023 % of Biotech
Nigeria,Niger,175163,0,1.5,3,4,90,10,0
Nigeria,Adamawa State,166130,0,1.5,3,4,90,10,0
Nigeria,Federal Capital Territory,155906,0,1.5,3,4,90,10,0
Nigeria,Jigawa,147264,0,1.5,3,4,90,10,0
Nigeria,Zamfara,141246,0,1.5,3,4,90,10,0
Nigeria,Osun,139913,0,1.5,3,4,90,10,0
Nigeria,Kogi,137454,0,1.5,3,4,90,10,0
Nigeria,Kebbi,137360,0,1.5,3,4,90,10,0
Nigeria,Kwara,136168,0,1.5,3,4,90,10,0
Nigeria,Oyo State,134783,0,1.5,3,4,90,10,0
Nigeria,Katsina,134748,0,1.5,3,4,90,10,0
Nigeria,Benue,131148,0,1.5,3,4,90,10,0
Nigeria,Lagos,128812,0,1.5,3,4,90,10,0
Nigeria,Ekiti,128798,0,1.5,3,4,90,10,0
Nigeria,Ondo,125575,0,1.5,3,4,90,10,0
Nigeria,Taraba,118936,0,1.5,3,4,90,10,0
Nigeria,Ogun,106575,0,1.5,3,4,90,10,0
Nigeria,Kano,105892,0,1.5,3,4,90,10,0
Nigeria,Nasarawa,96474,0,1.5,3,4,90,10,0
Nigeria,Sokoto,95526,0,1.5,3,4,90,10,0
Nigeria,Cross River,86178,0,1.5,3,4,90,10,0
Nigeria,Ebonyi,79302,0,1.5,3,4,90,10,0
Nigeria,Enugu,77416,0,1.5,3,4,90,10,0
Nigeria,Akwa Ibom,65215,0,1.5,3,4,90,10,0
Nigeria,Edo State,62352,0,1.5,3,4,90,10,0
Nigeria,Abia,61980,0,1.5,3,4,90,10,0
Nigeria,Rivers State,49845,0,1.5,3,4,90,10,0
Nigeria,Delta State,47971,0,1.5,3,4,90,10,0
Nigeria,Imo State,47631,0,1.5,3,4,90,10,0
Nigeria,Bayelsa,47178,0,1.5,3,4,90,10,0
Nigeria,Anambra,44070,0,1.5,3,4,90,10,0
